ID,UUID, LocationTitle,AddressLine1,AddressLine2,Town,StateOrProvince,Postcode,Country,Latitude,Longitude,Distance,DistanceUnit,Addr_ContactTelephone1,Addr_ContactTelephone2,Addr_ContactEmail,Addr_AccessComments,Addr_GeneralComments,Addr_RelatedURL,ConnectionType,ChargerType,UsageType,NumberOfPoints,GeneralComments,DateLastConfirmed,StatusType,DateLastStatusUpdate,DateCreated
103534,F1EFD584-49D1-41A0-ACD9-3CAF390E1D1D,"Batavia Stad","Bataviaplein 60",,"Lelystad",,"8242 PN","Netherlands",52.52305,5.43792,,0,"+31 320 29 29 00",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",20,"20 Tesla Connectors, up to 22kW.Available for customers. Self park.",,"Operational",5/4/2018 5:36:00 AM,5/4/2018 5:36:00 AM
102025,A28CC2B2-ACD6-4DC8-991B-30754E62BA7E,"G&G Special Sizes","Hoofdweg 254",,"Slochteren",,"9621AS","Netherlands",53.199743,6.788897,,0,"+31 59 84 22450",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 11kW.Available for customers. Self park.",,"Operational",5/6/2018 5:25:00 PM,4/16/2018 4:58:00 AM
101121,5932416D-590E-46AE-9FC0-3C4F62DAED46,"Zaltbommel Supercharger","65 Hogeweg",,"Zaltbommel",,"5301 LJ","Netherlands",51.796249,5.254964,,0,,,,,,,"Tesla Supercharger;",,"Public - Membership Required",16,"Charging16 Superchargers, available 24/7, up to 120kW",,"Operational",3/17/2018 7:12:00 AM,3/17/2018 7:12:00 AM
101107,DD557789-57A0-44CE-A8F8-040CDDFB500E,"Vuren Supercharger","21 Zeiving",,"Vuren",,"4214 KT","Netherlands",51.839079,5.09062,,0,,,,,,,"Tesla Supercharger;",,"Public - Membership Required",12,"chargingCharging12 Superchargers, available 24/7, up to 120kW",,"Operational",3/17/2018 7:09:00 AM,3/17/2018 7:09:00 AM
100886,7CE1EC6D-8CE3-45BE-BCEA-45AB65727F77,"Race Planet","Herwijk 10",,"Amsterdam",,"1046","Netherlands",52.3962498,4.7896188,,0,,,,"By the main entrance",,"http://raceplanet.nl","Mennekes (Type 2);",,"(Unknown)",2,,,"Operational",3/12/2018 9:02:00 AM,3/10/2018 1:21:00 PM
100803,45A8CD05-AC3D-41D6-8584-56720A1BDABB,"Pannenkoekenrestaurant den Tol - Velp","Bosschebaan 8",,"Velp",,"5363SX","Netherlands",51.74507,5.716071,,0,"+31 486 472 114",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 11kW.Available for customers. Please see front desk.",,"Operational",3/10/2018 6:51:00 AM,3/10/2018 6:51:00 AM
100774,4958C78F-860A-49CE-863C-563F7F8A8E28,"Skidiscovery den Haag","Waterpas 99",,"Den Haag",,"2495AV","Netherlands",52.059399,4.362439,,0,"+31 703991014",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 17kW.Available for customers. Please call ahead.",,"Operational",3/10/2018 6:47:00 AM,3/10/2018 6:47:00 AM
100619,02652ED0-29F3-47BC-8CB2-679F0F96BD45,"Fastned - De Watering","A8","","zaandam","","","Netherlands",52.4422712592311,4.85503435134888,,0,"","","","",,"","CCS (Type 2 Version of Combined Coupler); CHAdeMO; Tesla (Model S onwards);",,"Public - Pay At Location",2,"",,"Operational",3/2/2018 8:31:00 AM,3/2/2018 3:00:00 AM
100426,6637B75B-F764-4981-ACF1-D30BE3C2FEB0,"ColoCenter","Heliumsstraat 200",,"Zoetermeer",,"2718RS","Netherlands",52.0333797904231,4.497190117836,,0,,,"info@colocenter.nl",,,"http://www.colocenter.nl","Mennekes (Type 2);",,"Public - Pay At Location",2,,,"Operational",2/25/2018 10:30:00 PM,2/24/2018 10:24:00 AM
100356,9EE15F3B-607D-4A85-A5E6-12B6B65061C3,"Hotel Restaurant de Nachtegaal","Heereweg 10",,"Lisse",,"2161 AG","Netherlands",52.271875,4.564281,,0,"+31 252 433030",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",2,"2 Tesla Connectors, up to 11kW.Available for customers. Please see front desk.",,"Operational",2/23/2018 6:50:00 AM,2/23/2018 6:50:00 AM
99682,83B87249-4A73-4678-AD77-9B7BAD6F38CB,"De Woeste Wieven - Boutique & Conference Hotel","Deldensestraat 11",,"Diepenheim",,"7478pg","Netherlands",52.175972,6.614891,,0,"+31 620848424",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",2,"2 Tesla Connectors, up to 22kW.Available for customers. Please call ahead.",,"Operational",2/1/2018 7:10:00 AM,2/1/2018 7:10:00 AM
99635,FD49EB55-8E89-463F-BF69-8E69AB2F49CF,"Conservatorium Hotel","Paulus Potterstraat 50",,"Amsterdam",,"1071 DB","Netherlands",52.35883,4.878628,,0,"+31 205700000",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 14kW.Available for customers. Please see valet.",,"Operational",2/1/2018 7:03:00 AM,2/1/2018 7:03:00 AM
98125,403B4F88-7496-4909-BEAA-2F611CF11E0E,"Parkeergarage Raadhuisplein","De Marke 1","9203DV","Drachten","Friesland","9203DV","Netherlands",53.1054347,6.10054679999996,,0,"0031610990023",,,"Parkeergarage Raadhuisplein  Openingstijden: op werkdagen: van 6.30 tot 22.00 uur op zaterdag: van 7.00 uur tot 22.00 uur op zondag: gesloten op feestdagen: open als winkels in het centrum zijn geopend tussen 7.00 en 22.00 uur (bv Tweede Paasdag, Tweede Pinksterdag, Tweede Kerstdag)  Uitrijden 24 uur per dag Per uur € 1,25 Per dag € 2,50 Het te betalen bedrag wordt afgerond op 10 cent. Het minimumbedrag is € 0,20 (is 11 minuten). Maandabonnement € 63,16  Verloren kaart €10,00 Telefoonnummer parkeergarage 06-10990023  In de  parkeergarages zijn de algemene voorwaarden van toepassing. Deze zijn op te vragen bij de beheerder.",,"http://www.ev-box.com","Mennekes (Type 2);",,"Public",6,,,"Operational",1/24/2018 9:41:00 AM,1/21/2018 7:36:00 PM
98098,CBB48796-889D-4419-B030-2A95A1F84E5F,"Chateau de Holtmuehle","Kasteellaan 10",,"Tegelen",,"5932 AG","Netherlands",51.331131,6.136385,,0,"+31 773738800",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 22kW.Available for customers. Please see front desk.",,"Operational",1/21/2018 5:49:00 PM,1/21/2018 5:49:00 PM
98029,4442623C-ECB3-44DD-9261-9F54D5F71FD1,"Saillant Kasteel Doenrade","Limpensweg 20",,"Doenrade",,"6439BE","Netherlands",50.961264,5.908891,,0,"+31 46 4424141",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",2,"2 Tesla Connectors, up to 11kW.Available for customers. Self park.",,"Operational",1/21/2018 5:36:00 PM,1/21/2018 5:36:00 PM
97928,8D970114-3948-4784-8425-2909666F2684,"Villa Magnolia","Oude Domburgseweg 20",,"Oostkapelle",,"4356 CC","Netherlands",51.568291,3.539339,,0,"+31 118 581 980",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 17kW.Available for customers. Self park.",,"Operational",1/21/2018 5:01:00 PM,1/21/2018 5:01:00 PM
97668,84E48479-2FE2-49B3-BDCA-49BC084717DD,"Dutch Design Hotel Artemis Amsterdam","John M. Keynesplein 2",,"Amsterdam",,"1066 EP","Netherlands",52.341746,4.824712,,0,"+31 207141000",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",2,"2 Tesla Connectors, up to 22kW.Available to the public. Self park.",,"Operational",1/21/2018 4:21:00 PM,1/21/2018 4:21:00 PM
97566,2F076D3F-E26B-4750-9ADE-9369E64ED83D,"Horst Supercharger","2 Tienrayseweg",,"Horst",,"5961","Netherlands",51.470106,6.05724,,0,,,,,,,"Tesla Supercharger;",,"Public - Membership Required",12,"Charging12 Superchargers, available 24/7, up to 120kW",,"Operational",1/21/2018 3:46:00 PM,1/21/2018 3:46:00 PM
97447,D517C482-FA63-44E8-8D1F-2DCB239DAA2A,"Logis Hotel Restaurant Faber","Meint Veningastraat 123",,"Hoogezand",,"9601 KE","Netherlands",53.163936,6.755294,,0,"+31 598393336",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 17kW.Available for customers. Please see front desk.",,"Operational",1/21/2018 3:27:00 PM,1/21/2018 3:27:00 PM
97435,23E86A9E-15E4-453B-B1C2-0768C40D4081,"Emmeloord Supercharger","9 Het Hooiveld",,"Emmeloord",,,"Netherlands",52.727405,5.764609,,0,,,,,,,"Tesla Supercharger;",,"Public - Membership Required",10,"Charging10 Superchargers, available 24/7, up to 120kW",,"Operational",1/21/2018 3:25:00 PM,1/21/2018 3:25:00 PM
97402,EB1CC793-DFBC-4645-A9E8-30F2D63083F1,"Logis Strandhotel Camperduin","Heereweg 395",,"Schoorl",,"1871 GL","Netherlands",52.726387,4.644627,,0,"+31 72 509 1436",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 11kW.Available for customers. Self park.",,"Operational",1/21/2018 3:20:00 PM,1/21/2018 3:20:00 PM
95902,A7859FB1-7BBD-4DDA-904B-572E6B10C1A7,"Renault Oving","Nagelerweg 6",,"Emmeloord","Flevoland",,"Netherlands",52.7034351882162,5.75555345980228,,0,,,,,,"http://www.oving.nl","Mennekes (Type 2);",,"Public - Notice Required",1,,,"Operational",11/30/2017 8:15:00 AM,11/29/2017 11:25:00 AM
95870,FEFA2DFD-4BBA-4100-B01A-D87AD7F154A0,"Paladijnenweg 2","Paladijnenweg 2",,"Amersfoort",,"3813DJ","Netherlands",52.167459,5.37940070000002,,0,,,,,,,"Mennekes (Type 2);",,"Public",2,,,"Operational",11/28/2017 11:10:00 AM,11/28/2017 9:06:00 AM
95869,2D9E97E8-3647-4404-8802-D731C9FC5ECF,"Paladijnenweg 51","Paladijnenweg 51",,"Amersfoort",,"3813DB","Netherlands",52.1685049353294,5.38477867841721,,0,,,,,,,"Mennekes (Type 2);",,"Public",2,,,"Operational",11/28/2017 11:10:00 AM,11/28/2017 8:29:00 AM
95477,DF3F583E-933C-4DE9-952B-2083952E2FCF,"Hotel Restaurant Zalen Hoogeerd","Maasbandijk 10",,"Niftrik/Wijchen",,"6606 KB","Netherlands",51.798564,5.688385,,0,"+31 246414032",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 7kW.Available for customers. Self park.",,"Operational",11/12/2017 6:49:00 AM,11/12/2017 6:49:00 AM
95267,61443751-2B5E-457B-945A-4D94216E3D88,"Landal Amerongse Berg","Dwarsweg 73a",,"Overberg",,"3959 AE","Netherlands",52.031574,5.518599,,0,"+31 318 509 070",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 11kW.Available for customers. Self park.",,"Operational",11/5/2017 7:05:00 AM,11/5/2017 7:05:00 AM
95196,B6D8FCBB-FA0C-4D88-9F79-ED7B05960F9F,"Landgoed de Wilmersberg","Rhododendronlaan 7",,"De Lutte",,"7587 NL","Netherlands",52.309942,6.959972,,0,"+31 541585555",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",2,"2 Tesla Connectors, up to 14kW.Available for customers. Self park.",,"Operational",11/5/2017 6:54:00 AM,11/5/2017 6:54:00 AM
95189,77962BD5-9910-40CC-9F29-0884D19970FE,"Logis Hotel Restaurant Zeezicht","Zuiderhaven 1",,"Harlingen",,"8861CJ","Netherlands",53.175467,5.413871,,0,"+31 517 412 536",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 11kW.Available for customers. Self park.",,"Operational",11/5/2017 6:53:00 AM,11/5/2017 6:53:00 AM
95177,81B4B633-B2BB-49A8-9969-A5E95DB3BB69,"Van der Valk Hotel Cuijk - Nijmegen","Raamweg 10",,"Cuijk",,"5431 NH","Netherlands",51.735582,5.847405,,0,"+31 485335123",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",2,"2 Tesla Connectors, up to 11kW.Available to the public. Self park.",,"Operational",11/5/2017 6:52:00 AM,11/5/2017 6:52:00 AM
95000,B3850E8A-AB11-4F84-B552-81C578FBE7FE,"Shopping Centre De Drait","Eems","","Drachten","FRL","","Netherlands",53.0995767995957,6.07442128656658,,0,"","","","",,"","Mennekes (Type 2);",,"Public",2,"",,"Operational",3/19/2018 12:19:00 PM,10/30/2017 11:24:00 AM
94744,F31C4F29-D652-41EE-9DF4-0DF39051B184,"Hyatt Place Amsterdam Airport","Rijnlanderweg 800",,"Hoofddorp","Noord Holand","1056PP","Netherlands",52.2934458880429,4.71207525901264,,0,"+31205421234",,"amsterdamairport.place@hyatt.com","EV charging point accessible through hotel's parking lot",,"http://www.amsterdamairport.place.hyatt.com","Mennekes (Type 2);",,"Public",4,"EV charging point e-card can be collected at hotel's lobby",,"Operational",10/24/2017 7:04:00 PM,10/24/2017 8:15:00 AM
94540,03712882-0F63-462F-84F4-46BF1BD5E373,"Conferentiecentrum Samaya","Hollendewagenweg 20",,"Werkhoven",,"3985SG","Netherlands",52.003186,5.255735,,0,"+31 343552332",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Private - For Staff, Visitors or Customers",2,"2 Tesla Connectors, up to 7kW.Available for patrons only. Please see front desk.",,"Operational",10/20/2017 5:37:00 AM,10/20/2017 5:37:00 AM
94108,07590A8E-D7A5-4822-9394-B9006AACD9F7,"Camping Linda","Oostelijke Kanaalweg 4",,"Wemeldinge","Zeeland","4424 NC","Netherlands",51.5160306,4.00781740000002,,0,"0031(0)411745020",,,,,"http://www.ecotap.nl","Mennekes (Type 2);",,"Public",1,,,"Operational",10/17/2017 11:57:00 AM,10/17/2017 11:42:00 AM
94107,9C38A92C-6736-441F-8CF8-856486C44625,"Gasterij Schoudee","Schoudeeweg 1",,"Wemeldinge","Zeeland","4424 NB","Netherlands",51.516529,4.01120270000001,,0,"0031(0)411745020",,,,,"http://www.ecotap.nl","Mennekes (Type 2);",,"Public - Membership Required",1,,,"Operational",10/17/2017 11:48:00 AM,10/17/2017 11:36:00 AM
94031,A4AA2C0A-C6E9-4D11-AA13-CFF23C0416AA,"Hotel Wapen Van Delden","Langestraat 242",,"Delden",,"7491 AN","Netherlands",52.259617,6.682393,,0,"+31 743761355",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Private - For Staff, Visitors or Customers",2,"2 Tesla Connectors, up to 11kW.Available for patrons only. Please see front desk.",,"Operational",10/14/2017 5:40:00 AM,10/14/2017 5:40:00 AM
94007,14625FF7-A006-4B98-96AF-0240CDD625BD,"Radisson Blu Palace Hotel","Pickeplein 8",,"Noordwijk",,"2202CL","Netherlands",52.241952,4.431662,,0,"+31 71 365 30 00",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 22kW.Available for customers. Self park.",,"Operational",10/14/2017 5:36:00 AM,10/14/2017 5:36:00 AM
93988,F8EEAF26-DE32-4AFB-AD1D-D767A1FB8560,"Amadore Hotel Restaurant de Kamperduinen","Patrijzenlaan 1",,"Kamperland",,"4493RA","Netherlands",51.590083,3.664783,,0,"+31 113 37 00 00",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Private - For Staff, Visitors or Customers",2,"2 Tesla Connectors, up to 14kW.Available for patrons only. Please see front desk.",,"Operational",10/14/2017 5:33:00 AM,10/14/2017 5:33:00 AM
93977,DDC1BAC9-5927-413B-AD67-65E08E9FC3E6,"Ushiem","Tsjerkewei 2",,"Oudega",,"8614JD","Netherlands",52.989056,5.543616,,0,"+31 515 745023",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",2,"2 Tesla Connectors, up to 11kW.Available to the public. Self park.",,"Operational",10/14/2017 5:32:00 AM,10/14/2017 5:32:00 AM
93895,4DDBC216-C377-4D72-88B4-BBF692868D1B,"Restaurant De Kromme Watergang","Slijkplat 6",,"Hoofdplaat",,,"Netherlands",51.3773242,3.60290310000005,,0,,,,"5x 230V / 16A laadplekken links en rechts van de hoofdingang. Uiteraard bedoeld voor gasten van de Kromme Watergang.",,,"CEE 7/4 - Schuko - Type F;",,"Public - Notice Required",5,,,"Operational",10/11/2017 8:08:00 PM,10/11/2017 8:06:00 PM
93749,B1B0E79C-7C06-42FF-B3D8-04B551BDB8A6,"Ecotap","Boyleweg 6",,"Spijkenisse",,"3208LD","Netherlands",51.8561502,4.2972181,,0,,,,,,,"CHAdeMO; CCS (Type 2 Version of Combined Coupler); Mennekes (Type 2);",,"Public - Membership Required",1,,,"Operational",10/9/2017 9:03:00 AM,10/7/2017 5:51:00 AM
93094,D2FFCCE1-96ED-4626-8BED-48E2168FF7E2,"Parklaan 1 B","Parklaan 1 B",,"Boskoop",,"2771 GB","Netherlands",52.07606506,4.64681053,,0,,,,,,,"Mennekes (Type 2);",,"Public - Membership Required",1,,,"Operational",9/19/2017 9:27:00 AM,9/18/2017 3:30:00 PM
93095,0ED18885-D70E-43A6-9E61-5F3C12A0F0F2,"Kalverdans 17","Kalverdans 17",,"Boskoop",,"2771 RR","Netherlands",52.07405853,4.63905478,,0,,,,,,,"Mennekes (Type 2);",,"Public - Membership Required",1,,,"Operational",9/19/2017 9:26:00 AM,9/18/2017 3:30:00 PM
93092,95726894-E31A-4CD0-91AF-4D3237856379,"Raadhuisplein 1","Raadhuisplein 1",,"Boskoop","South Holland","2771 EK","Netherlands",52.0751915,4.65680504,,0,,,,,,,"Mennekes (Type 2);",,"Public - Membership Required",2,,,"Operational",9/19/2017 9:25:00 AM,9/18/2017 2:19:00 PM
93001,6833F8DE-CAD2-4F75-90EB-8787ACFDF889,"Bierbrouwerij de Koningshoeven - Proeflokaal","Bierbrouwerij de Koningshoeven",,,,"5056 RP","Netherlands",51.542956,5.129958,,0,"+31 13 572 26 50",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",2,"2 Tesla Connectors, up to 11kW.Available for customers. Please call ahead.",,"Operational",9/15/2017 5:35:00 AM,9/15/2017 5:35:00 AM
92984,1CA601CD-B81E-4952-B862-9C3DD77178ED,"Olympia Charters Sloepenverhuur","Olympia Charters Sloepenverhuur",,,,"2361 KZ","Netherlands",52.189745,4.503932,,0,"+31 71 30 10 043",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Private - For Staff, Visitors or Customers",1,"1 Tesla Connector, up to 17kW.Available for patrons only. Please see front desk.",,"Operational",9/15/2017 5:31:00 AM,9/15/2017 5:31:00 AM
92556,F9803737-1EAE-4F70-B65E-DA0FED9F8F14,"Ramada the Hague - Scheveningen","Zwolsestraat 17",,"Den Haag",,"2587 TX","Netherlands",52.113888,4.285957,,0,"+31 70 30 65 500",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Notice Required",1,"1 Tesla Connector, up to 22kW.Available by reservation only. Please call ahead.",,"Operational",9/7/2017 6:01:00 AM,9/7/2017 6:01:00 AM
92511,3A8003D2-ECBB-463F-ACFB-AB28ABA46C1D,"Hotel/restaurant Duinoord","Breezand 65",,"Vrouwenpolder",,"4354 NL","Netherlands",51.586036,3.621077,,0,"+31 118 591 346",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Private - For Staff, Visitors or Customers",1,"1 Tesla Connector, up to 11kW.Available for patrons only. Please see front desk.",,"Operational",9/7/2017 5:54:00 AM,9/7/2017 5:54:00 AM
92451,C282046B-7759-4FCF-A780-96C5923EDFA8,"Amadore Hotel Restaurant Arion","Boulevard Bankert 266",,"Vlissingen",,"4382 AC","Netherlands",51.446344,3.564244,,0,"+31 11 84 10 502",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Private - For Staff, Visitors or Customers",2,"2 Tesla Connectors, up to 14kW.Available for patrons only. Please see front desk.",,"Operational",9/7/2017 5:43:00 AM,9/7/2017 5:43:00 AM
92383,42D0236E-C5F2-4483-9DD4-C7D0C3F9391F,"Max Planckstraat - Sterrenschool Het Universum","Max Planckstraat 23",,"Almere","Flevoland","1341 DA","Netherlands",52.3590251572708,5.28448820114136,,0,"+31304100887",,,"Parking lot next to school",,"http://www.pitpoint.nl/ev-mra","Mennekes (Type 2);",,"Public - Membership Required",1,,,"Operational",9/3/2017 3:16:00 PM,9/3/2017 10:41:00 AM
91781,5FE5B821-28D4-4C69-B8CB-79E9BAB75771,"Designer Outlet Roermond","Stadsweide 2",,"Roermond",,"6041 TD","Netherlands",51.199222,5.988171,,0,"+31 475 35 17 77",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",13,"13 Tesla Connectors, up to 22kW.Available to the public. Self park.",,"Operational",8/18/2017 7:35:00 AM,8/18/2017 7:35:00 AM
91767,B3C5E6F6-F41C-430E-88E8-CD17B40D232C,"J. M. De Muinck Keizerlaan 27","Keizerlaan 27",,"Utrecht",,"3555 JT","Netherlands",52.116711,5.0844572,,0,,,,,,,"Mennekes (Type 2);",,"Public",2,,,"Operational",8/17/2017 5:03:00 PM,8/17/2017 10:30:00 AM
90760,AF876771-BFE3-44DD-8843-B199CC5CD162,"Flevo Marina","Overstag",,"Lelystad",,,"Netherlands",52.5504124146232,5.46084344387054,,0,,,,,,,"CEE 7/4 - Schuko - Type F;",,"Public - Pay At Location",1,,,"Operational",7/23/2017 2:03:00 PM,7/22/2017 11:02:00 PM
90554,2BF7C946-E5B1-4921-B1A3-AFEDD2C82387,"Nassaulaan 36","Nassaulaan 36",,"Baarn",,"3743 CD","Netherlands",52.2127278,5.27831930000002,,0,"0620437571",,"engelsman.nico@gmail.com",,,,"Mennekes (Type 2);",,"Private - For Staff, Visitors or Customers",1,,,"Operational",7/20/2017 1:02:00 PM,7/17/2017 6:41:00 PM
90311,F5293125-0AA6-4522-997F-C13DD0618844,"Het Bosch @ the Waterfront","Jollenpad 10",,"Amsterdam",,"1081KC","Netherlands",52.335616,4.848441,,0,"+31 20 64 45 800",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Notice Required",2,"2 Tesla Connectors, up to 22kW.Available by reservation only. Please see front desk.",,"Operational",7/13/2017 2:44:00 PM,7/13/2017 2:44:00 PM
